pdf_path,chapter_no,title
../Books/class-7/Science/ch01.pdf,1,The Ever-Evolving World of Science
../Books/class-7/Science/ch02.pdf,2,"Exploring Substances: Acidic, Basic, and Neutral"
../Books/class-7/Science/ch03.pdf,3,Electricity: Circuits and their Components
../Books/class-7/Science/ch04.pdf,4,The World of Metals and Non-metals
../Books/class-7/Science/ch05.pdf,5,Changes Around Us: Physical and Chemical
../Books/class-7/Science/ch06.pdf,6,Adolescence: A Stage of Growth and Change
../Books/class-7/Science/ch07.pdf,7,Heat Transfer in Nature
../Books/class-7/Science/ch08.pdf,8,Measurement of Time and Motion
../Books/class-7/Science/ch09.pdf,9,Life Processes in Animals
../Books/class-7/Science/ch10.pdf,10,Life Processes in Plants
../Books/class-7/Science/ch11.pdf,11,Light: Shadows and Reflections
../Books/class-7/Science/ch12.pdf,12,"Earth, Moon, and the Sun"
