pdf_path,chapter_no,title
../Books/class-6/Science/ch01.pdf,1,The Wonderful World of Science
../Books/class-6/Science/ch02.pdf,2,Diversity in the Living World
../Books/class-6/Science/ch03.pdf,3,Mindful Eating: A Path to a Healthy Body
../Books/class-6/Science/ch04.pdf,4,Exploring Magnets
../Books/class-6/Science/ch05.pdf,5,Measurement of Length and Motion
../Books/class-6/Science/ch06.pdf,6,Materials Around Us
../Books/class-6/Science/ch07.pdf,7,Temperature and its Measurement
../Books/class-6/Science/ch08.pdf,8,A Journey through States of Water
../Books/class-6/Science/ch09.pdf,9,Methods of Separation in Everyday Life
../Books/class-6/Science/ch10.pdf,10,Living Creatures: Exploring their Characteristics
../Books/class-6/Science/ch11.pdf,11,Nature's Treasures
../Books/class-6/Science/ch12.pdf,12,Beyond Earth
