pdf_path,chapter_no,title
../Books/class-10/Science/ch01.pdf,1,Chemical Reactions and Equations
../Books/class-10/Science/ch02.pdf,2,"Acids, Bases and Salts"
../Books/class-10/Science/ch03.pdf,3,Metals and Non-metals
../Books/class-10/Science/ch04.pdf,4,Carbon and its Compounds
../Books/class-10/Science/ch05.pdf,5,Life Processes
../Books/class-10/Science/ch06.pdf,6,Control and Coordination
../Books/class-10/Science/ch07.pdf,7,How do Organisms Reproduce?
../Books/class-10/Science/ch08.pdf,8,Heredity
../Books/class-10/Science/ch09.pdf,9,Light — Reflection and Refraction
../Books/class-10/Science/ch10.pdf,10,The Human Eye and the Colourful World
../Books/class-10/Science/ch11.pdf,11,Electricity
../Books/class-10/Science/ch12.pdf,12,Magnetic Effects of Electric Current
../Books/class-10/Science/ch13.pdf,13,Our Environment
