pdf_path,chapter_no,title
../Books/class-8/Science/ch01.pdf,1,Exploring the Investigative World of Science
../Books/class-8/Science/ch02.pdf,2,The Invisible Living World: Beyond Our Naked Eye
../Books/class-8/Science/ch03.pdf,3,Health: The Ultimate Treasure
../Books/class-8/Science/ch04.pdf,4,Electricity: Magnetic and Heating Effects
../Books/class-8/Science/ch05.pdf,5,Exploring Forces
../Books/class-8/Science/ch06.pdf,6,"Pressure, Winds, Storms, and Cyclones"
../Books/class-8/Science/ch07.pdf,7,Particulate Nature of Matter
../Books/class-8/Science/ch08.pdf,8,"Nature of Matter: Elements, Compounds, and Mixtures"
../Books/class-8/Science/ch09.pdf,9,"The Amazing World of Solutes, Solvents, and Solutions"
../Books/class-8/Science/ch10.pdf,10,Light: Mirrors and Lenses
../Books/class-8/Science/ch11.pdf,11,Keeping Time with the Skies
../Books/class-8/Science/ch12.pdf,12,How Nature Works in Harmony
../Books/class-8/Science/ch13.pdf,13,"Our Home: Earth, a Unique Life Sustaining Planet"
