pdf_path,chapter_no,title
../Books/class-9/Mathematics/ch01.pdf,1,Orienting Yourself: The Use of Coordinates
../Books/class-9/Mathematics/ch02.pdf,2,Introduction to Linear Polynomials
../Books/class-9/Mathematics/ch03.pdf,3,The World of Numbers
../Books/class-9/Mathematics/ch04.pdf,4,Exploring Algebraic Identities
../Books/class-9/Mathematics/ch05.pdf,5,"I'm Up and Down, and Round and Round"
../Books/class-9/Mathematics/ch06.pdf,6,Measuring Space: Perimeter and Area
../Books/class-9/Mathematics/ch07.pdf,7,The Mathematics of Maybe: Introduction to Probability
../Books/class-9/Mathematics/ch08.pdf,8,Predicting What Comes Next: Exploring Sequences and Progressions
