pdf_path,chapter_no,title
../Books/class-7/Mathematics/part-1/ch01.pdf,1,Large Numbers Around Us
../Books/class-7/Mathematics/part-1/ch02.pdf,2,Simple Expressions
../Books/class-7/Mathematics/part-1/ch03.pdf,3,Peek Beyond the Point
../Books/class-7/Mathematics/part-1/ch04.pdf,4,Expressions Using Letter-Numbers
../Books/class-7/Mathematics/part-1/ch05.pdf,5,Parallel and Intersecting Lines
../Books/class-7/Mathematics/part-1/ch06.pdf,6,Numbers Tell us Things
../Books/class-7/Mathematics/part-1/ch07.pdf,7,A Tale of Three Intersecting Lines
../Books/class-7/Mathematics/part-1/ch08.pdf,8,Working with Fractions
../Books/class-7/Mathematics/part-2/ch01.pdf,9,Geometric Twins
../Books/class-7/Mathematics/part-2/ch02.pdf,10,Operations with Integers
../Books/class-7/Mathematics/part-2/ch03.pdf,11,Finding Common Ground
../Books/class-7/Mathematics/part-2/ch04.pdf,12,Another Peek Beyond the Point
../Books/class-7/Mathematics/part-2/ch05.pdf,13,Connecting the Dots…
../Books/class-7/Mathematics/part-2/ch06.pdf,14,Constructions and Tilings
../Books/class-7/Mathematics/part-2/ch07.pdf,15,Finding the Unknown
