pdf_path,chapter_no,title
../Books/class-8/Mathematics/part-1/ch01.pdf,1,A Square and a Cube
../Books/class-8/Mathematics/part-1/ch02.pdf,2,Power Play
../Books/class-8/Mathematics/part-1/ch03.pdf,3,A Story of Numbers
../Books/class-8/Mathematics/part-1/ch04.pdf,4,Quadrilaterals
../Books/class-8/Mathematics/part-1/ch05.pdf,5,Number Play
../Books/class-8/Mathematics/part-1/ch06.pdf,6,"We Distribute, Yet Things Multiply"
../Books/class-8/Mathematics/part-1/ch07.pdf,7,Proportional Reasoning-1
../Books/class-8/Mathematics/part-2/ch01.pdf,8,Fractions in Disguise
../Books/class-8/Mathematics/part-2/ch02.pdf,9,The Baudhayana-Pythagoras Theorem
../Books/class-8/Mathematics/part-2/ch03.pdf,10,Proportional Reasoning
../Books/class-8/Mathematics/part-2/ch04.pdf,11,Exploring Some Geometric Themes
../Books/class-8/Mathematics/part-2/ch05.pdf,12,Tales by Dots and Lines
../Books/class-8/Mathematics/part-2/ch06.pdf,13,Algebra Play
../Books/class-8/Mathematics/part-2/ch07.pdf,14,Rectangle and Squares
