pdf_path,chapter_no,title
../Books/class-6/Mathematics/ch01.pdf,1,Patterns in Mathematics
../Books/class-6/Mathematics/ch02.pdf,2,Lines and Angles
../Books/class-6/Mathematics/ch03.pdf,3,Number Play
../Books/class-6/Mathematics/ch04.pdf,4,Data Handling and Presentation
../Books/class-6/Mathematics/ch05.pdf,5,Prime Time
../Books/class-6/Mathematics/ch06.pdf,6,Perimeter and Area
../Books/class-6/Mathematics/ch07.pdf,7,Fractions
../Books/class-6/Mathematics/ch08.pdf,8,Playing with Constructions
../Books/class-6/Mathematics/ch09.pdf,9,Symmetry
../Books/class-6/Mathematics/ch10.pdf,10,The Other Side of Zero
